Reviewer_score,Visit_date,Reviewer_name,Number_of_reviewers_reviews,Trip_type,Review_object_name,Review_year,Review_day_of_week,Country,Review_combined,Number_of_words_in_review,Reviewer_gender
3,1/12/2012,AlexMaz,157   Reviews,solo,   state university guest house  ,2013,Monday,australia,soviet era comfort but a great location in middle of town this is reasonable and inexpensive accommodation within walking distance of many attractions in yerevan the rooms are clean and tidy but very basic dont expect to find comfortable seats in the communal area either staff are friendly and helpful but the ones i met didnt speak english and i dont speak armeniani visited in december and the central heating was on full power overnight i couldnt find any adjustment knobs in the room so had to sleep with the window slightly open to avoid meltingoverall though this place was fine for what it costs also the attached restaurant was quite good in my opinion inexpensive and good variety in the food available and of course the beer was nice as i watched the music videos,136,male
3,1/11/2012,Cecio,72   Reviews,business,   state university guest house  ,2012,Thursday,switzerland,"good enough its hard to find good accommodation in central yerevan at a reasonable price and thats why the ysu guesthouse makes a good choice its got a great location on mashtots avenue near the manuscript museum so easy walking distance to many places and its reasonably priced but there are plenty of little problems so ultimately you get what you pay for

the guesthouse makes a distinguished stately impression as you walk in the rooms are small but well furnished tidy and functional bathrooms are clean but upon closer inspection not everything is great the bed was sloping steeply and the sheets didnt match the size of the mattress so only half of it was covered the shower spilled onto the bathroom floor and made it swampy the wifi which you can get access to against payment of a small fee was intermittent the tv had only antenna reception so it was fuzzy and only played local channels in armenian and russian 

the administrator and the director if and when you can catch them are always busy having coffee together and seem annoyed with every question or request in any case they speak little english also there is no staff besides the front desk guy on weekends so the beds are not made and the rooms are not cleaned on sundays at least and theres noone to help the internet of course conked out on the weekend breakfast is served inits hard to find good accommodation in central yerevan at a reasonable price and thats why the ysu guesthouse makes a good choice its got a great location on mashtots avenue near the manuscript museum so easy walking distance to many places and its reasonably priced but there are plenty of little problems so ultimately you get what you pay forthe guesthouse makes a distinguished stately impression as you walk in the rooms are small but well furnished tidy and functional bathrooms are clean but upon closer inspection not everything is great the bed was sloping steeply and the sheets didnt match the size of the mattress so only half of it was covered the shower spilled onto the bathroom floor and made it swampy the wifi which you can get access to against payment of a small fee was intermittent the tv had only antenna reception so it was fuzzy and only played local channels in armenian and russian the administrator and the director if and when you can catch them are always busy having coffee together and seem annoyed with every question or request in any case they speak little english also there is no staff besides the front desk guy on weekends so the beds are not made and the rooms are not cleaned on sundays at least and theres noone to help the internet of course conked out on the weekend breakfast is served in their gloomy dining room in the basement and is standard stuff you can get laundry done relatively cheaply by speaking directly with the maid the guesthouse takes only cash",509,male
4,1/6/2012,Jo K,67   Reviews,family,   state university guest house  ,2012,Tuesday,canada,clean friendly and good atmosphere we have just stayed for 6 nights here and found the guest house to be of a comfortable standard  sheets are clean beds on the slightly firm side showers with good water pressure fridges in rooms which is very handy for keeping water cold  staff very friendly and helpful  we had laundry done whilst there for a very good price all clothing returned beautifully ironedguest house is in a great location on mashtots not far from the opera house and the cascades and only a 10 minute walk from republic squarewhilst we were there the musicians playing at the opera house were also staying there and practised in rehearsal rooms every day it was wonderful to hear the sound of live music each morning  you wouldnt get that experience at the marriota fairly large selection on offer for breakfast and we also ate in the restaurant twice for dinner and would recommend the foodthe hotel also has free wifi,164,female
4,1/9/2011,jot54,125   Reviews,couple,   state university guest house  ,2011,Tuesday,uk,great location and value for money accommodation in yerevan can be very expensive and the cheaper options tend to be in inconvenient locations this guest house is within walking distance of all the main central sights rooms are rather basic but are spacious very clean and comfortable in summer it is better to avoid non aircon rooms at the back of the hotel as they tend to be very hot ideally go for a ground floor aircon room at the backbuffet breakfasts are really good with a wide selection of cold foods and excellent quality,95,male
4,1/10/2012,perfectimage,23   Reviews,friends,   capital hotel  ,2012,Wednesday,uk,"great value for money quiet location just recently stayed 3 nights at this hotel and generally had an overall positive experience

pros

 spacious rooms bed flatscreen tv dining table for 2 and a livingroom like area with balcony it was lots of space and definitely larger than your average hotel room

 quiet location pretty much zero noise from outside since it was in a more residential neighbourhood walls may be a bit thin though

 friendly staff most of the front desk staff speak fairly good english and are willing to help with most requests 

cons

 breakfast at an extra 2000amd which is around 5 usdday was disappointing there was not hot food at all and mostly consisted of bread cheeses and jams you can get much more and better food with 2000amd at those outdoor cafe places by opera at least the breakfast room on the top floor of the hotel had an amazing view of the gorge 

 location a bit out of the way it is around a 1520 minute walk to opera or a 600amd 150 usd taxi ride to anywhere in the city its not the most convenient location but since the taxi fares are so cheap it easily negates most of the con of this point though most taxi drivers wont have heard of this place so you need to indicate that it is on aygedzor for them to get an idea of where it is aroundjust recently stayed 3 nights at this hotel and generally had an overall positive experiencepros spacious rooms bed flatscreen tv dining table for 2 and a livingroom like area with balcony it was lots of space and definitely larger than your average hotel room quiet location pretty much zero noise from outside since it was in a more residential neighbourhood walls may be a bit thin though friendly staff most of the front desk staff speak fairly good english and are willing to help with most requests cons breakfast at an extra 2000amd which is around 5 usdday was disappointing there was not hot food at all and mostly consisted of bread cheeses and jams you can get much more and better food with 2000amd at those outdoor cafe places by opera at least the breakfast room on the top floor of the hotel had an amazing view of the gorge  location a bit out of the way it is around a 1520 minute walk to opera or a 600amd 150 usd taxi ride to anywhere in the city its not the most convenient location but since the taxi fares are so cheap it easily negates most of the con of this point though most taxi drivers wont have heard of this place so you need to indicate that it is on aygedzor for them to get an idea of where it is around a 57 minute walk to the metro if one is so inclined to use that othercleaning you had to specifically indicate that you wanted your room to be cleaned by hanging the sign on the doorknob otherwise there will be no cleaning",516,unknown
4,1/10/2012,iouA,78   Reviews,family,   capital hotel  ,2012,Thursday,portugal,mixed feelings i have somewhat mixed feelings about this hotel the hotel is conveniently located to the westnorth of yerevan center on a quiet street running in parallel to marshal baghramyan avenue not very close to metro but considering the cost of taxi in yerevan any journey in city  a bit more than 1 euro in october 2012 you will not need any public transport especially if you are in group there are good places to eat on proshyan street nearby when you will see the hotel for the first time you will be shocked and will try to check if the address is correct do not worry once you enter the gate you will see the main hotel building which is ok and has a very nice lobby our booked room was not available and we were given an apartment with 4 bedrooms a kitchen a living room a dining room and toiletsshower one half of the apartment was new and goodlooking the other part was old and not clean there was no cleaning service during our 2night stay breakfast is provided in a nice room with mt ararat view for a separate costconsidering a price i think this hotel is good values for money,206,unknown
3,1/5/2014,vramsabuh,2   Reviews,solo,   silachi hotel  ,2014,Wednesday,turkey,good hotel silachi hotel have good price and qualitynear the city centerstaffs are friendlygood breakfast buiding isrestorated some years ago roomsgood and cleanhotel is near the musim and opera bulding in hotel there is tour agent,36,unknown
2,1/10/2013,spintheglobe,182   Reviews,family,   silachi hotel  ,2013,Tuesday,uk,"not so great hotel good location near republic square in my opinion this hotel is a relic of the bygone soviet era  even though it looks new  modern from the outside inside it is quite poor
to start with the positives first  it is easy on your wallet a lot cheaper than the marriott  other good hotels i guess you get what you pay for secondly it is within walking distance of the republic square we were there for yerevans 2795th birthday party and there was a late night party street party on the square  so it was handy to be close by 

however the trouble starts from the moment you enter reception we stayed here 3 times during our trip of 8 days  we had to produce passports  fill in forms all 3 times the rooms are rather large with loads of space but are rather tired  need of tlc the mattress  the pillows are lumpy  definitely need to be changed the bathroom is clean but all attachments like shower  tower rails are made for 6 feet or above people the towel rail came into my hands as i had to hang on to the towel to get it off the rack

breakfast is nothing worth writing about but you cant complain about it either my request for warm milk for the child was flatly refused language issues

so dont stay here unless you are on ain my opinion this hotel is a relic of the bygone soviet era  even though it looks new  modern from the outside inside it is quite poorto start with the positives first  it is easy on your wallet a lot cheaper than the marriott  other good hotels i guess you get what you pay for secondly it is within walking distance of the republic square we were there for yerevans 2795th birthday party and there was a late night party street party on the square  so it was handy to be close by however the trouble starts from the moment you enter reception we stayed here 3 times during our trip of 8 days  we had to produce passports  fill in forms all 3 times the rooms are rather large with loads of space but are rather tired  need of tlc the mattress  the pillows are lumpy  definitely need to be changed the bathroom is clean but all attachments like shower  tower rails are made for 6 feet or above people the towel rail came into my hands as i had to hang on to the towel to get it off the rackbreakfast is nothing worth writing about but you cant complain about it either my request for warm milk for the child was flatly refused language issuesso dont stay here unless you are on a budget  looking for a central location  if you just want to use the room to sleep  i guess it doesnt matter then",485,unknown
4,1/4/2012,paolosJ6491UW,107   Reviews,couple,   silachi hotel  ,2012,Monday,italy,a nice modern hotel near the center of yerevan the hotel is located at a short walking distance from the center of the city there are plenty of atm and shops nearby among which a big market on the other side of a street and a bakery just few meters from the exiton the right with delightful pastriesa metro and bus stop is about 200 mt from the hotelthe staff is courteous and english speaking the rooms are clean and modern quiet at night with a spacious and clean bathroom complimentary bottles of water are available each morningthe breakfast is good not excellent but with a decent choiceyou can find plenty of restaurants nearby so we didnt try the hotels restaurantwifi is available in the lobby and the floors for free at the time of our stay asking the reception it was possible to have a free beeline sim card with very low fares for calls and sms to europe and usa and excellent coverage event in the countrysideoverall very recommended,171,unknown
5,1/9/2013,Nahabedian,1 review,family,   family hotel  ,2013,Wednesday,uae,one of my best holidays seen from the outside family hotel might not be impressive but once you experience the comfort  cleanliness of the rooms the friendliness of the staff  the central location you realize what a good choice you made thank you family hotel for making my holiday one of the best i had in the past few years count me in as a regular customer every time i visit yerevan highly recommendable to all who appreciate comfortnahabedian joseph  family,81,unknown
5,1/9/2013,taline A,1 review,family,   family hotel  ,2013,Thursday,lebanon,amazing i was afraid at first because of the price but when i stayed there it was more than perfect the rooms are exactly as in the pictures the staff are very friendly and helpful they actually clean the rooms as if it is their home perfect location to all yerevan s sites i loved them all maybe not a place for honeymoon but staying there with friends and family is very recommended i will definitely stay at this hotel again,81,female
4,1/8/2013,Ann-Margret72,2   Reviews,family,   villa des roses hotel  ,2014,Monday,canada,great personal attention by hotel staff we really appreciated the courteous attentiveness of all the hotel staff during our stay last summer whenever we had a need or question it was resolved quicklywe would love to see this hotel grow and make some improvements to their rooms in terms of furniture but we had no problems with cleanliness room temperature etc the bathrooms are modern and we had no issues with water pressure or temperatureone of our favourite features is the main balcony on the second floor looking out over yerevan,91,female
5,1/4/2014,Dominique A,1 review,solo,   anahit stepanyan's b&b  ,2014,Tuesday,france,one thousand and one nights incredible place in yerevan above opera and swan lake anahit is a kind and warm person who helps in everything informations tours airport pickup  dont be shy she wont be cosy place you will enjoy the big sizes of roof and rooms fluent in many language shes also can play the piano to entertain the evening go go go,64,male
5,1/4/2014,Rebecca Z,4   Reviews,solo,   anahit stepanyan's b&b  ,2014,Monday,armenia,lovely and central place the best bb in yerevan you feel at home when you come to anahits she makes you feel very at ease and is very careful you will adore her place shes flexible and very kind speaking many languages shes fluent in english and arabic you will never forget your trip,54,female
4,1/2/2014,srosenow,3   Reviews,business,   anahit stepanyan's b&b  ,2014,Saturday,russia,a treasure above the city centre of yerevan many thanks anahit for the nice days i could spend in january and february 2014 in your familys cosy home 5th floor above sayat nova ave is a treasure and with you as caring host with interesting conversations and offers to taste your meals your bb was my home away from home i also liked the meeting with other guests at you large flat with nice paintings on the walls and once in a while some melodies on the piano who wants more should visit the opera house across the street or the music conservatory next door the location is also fantastic with nice restaurants at the same quarter from sushi for whoever likes it to an indian karma with genuine indian food to crumbs bakery around the same corner with a lovely simple but complete lunch menu for less than 4 euro a great place to stay and discover yerevan many thanks and hope to meet again with you and your family,171,unknown
5,1/2/2014,MildaBilda,1 review,couple,   anahit stepanyan's b&b  ,2014,Sunday,armenia,something special we stayed at anahits’ for three nights from the very first step in this home we knew it was something special about it anahit is not just worderful host but also a very intersting person to talk she was very helpful in recommending us some nice places to visit or to hang out the most we liked about her place is that you really felt as if at home highly recommended for those doing long trips and the location is just fantastic not to mention spacious and yet cosy home and relaxed atmosphere thank you for your care our sincerest wishes from the heart,106,unknown
4,1/9/2013,Omotikaya,1 review,friends,   anahit stepanyan's b&b  ,2013,Tuesday,bulgaria,great location good place to stay the location of the hostel is one of its great advantages if you go for breakfast be prepared for two types of sweets and coffee or tea  a slight disappointment but i guess you cant expect more from a hostel the landlady speaks very good english and is pretty cooperative however cant be trusted to give you reliable information on possibilities to leave yerevan i was mislead from her about the last possible time to leave yerevan by bus place is clean and you will be given a clean towel and altogether every kind of assistance to make you comfortable make sure you agree definitively on the price in advance i think it is a bit more expensive than could be havent compared but i had a hotel room in yerevan which would have costed me only 30  more rooms are enormous and air inside is fresh all the time beds are a for the most part not beds but sofas and are a bit short but rather comfortable and sleeping is really no issue,181,unknown
5,1/9/2012,ChiaraGiocatrice,5   Reviews,friends,   anahit stepanyan's b&b  ,2013,Thursday,italy,unique anhait i have been in yerevan twice and no need to say i stayed both time at anahits bb i had such beautiful experiences staying at anahits place is first of all something special itself because you have the chance to  breathe a distinguishin artistic air with its paintings and music you can join your experience with anahit or the other guests if you like and you never feel like a stranger youll always feel very welcoming and at home anahit is a wonderful hostess very helpfull all the time she can really make your trip different thanks to her  excellent knowledge and  recommandation of the place to visit without her my trips in armenia would have not be the same the house is very comfortable well furnished and with an excellent location in the very heart of yerevan so in a few words highly recommended,147,unknown
5,1/7/2013,766alexxff,1 review,family,   anahit stepanyan's b&b  ,2013,Friday,armenia,wonderfully helpful lady and a lovely apartment we have just spent 5 nights here we thoroughly recommend this guest housethe guest house is in a large 1920s approx apartment with high ceilings and period features just opposite the opera house the private room is comfortable and good value we moved to a shared room after a few nights as we hadnt booked the private and someone else had the shared rooms have 24 beds the room we moved to had a double bed but was not private as it adjoined another room the living room is a very nice communal place to talk to other travellers or anahit anahit speaks excellent english and helped us with many things like fixing our camera making phone calls for us and good advice on good places to eat we really enjoyed being able to talk about all sorts of things with her like current affairs and living in generalbreakfast was 500 dram and was fresh coffee or tea with pastry simple but good breakfast at the communal table was often a social affair when we were here and we often found ourselves leaving later than planned,193,unknown
5,1/6/2013,210Jens,1 review,solo,   anahit stepanyan's b&b  ,2013,Wednesday,china,great place in the middle of yerevan i stayed at this place for a couple of days back in 2008 and was so pleased that finally when i got a chance to return to armenia this spring there was absolutely no doubt as to where i would head for accommodation anahit is friendly and incredibly service minded she speaks fluent english russian and even some italian her place is tidy and spotless conveniently there are two bathrooms so you wont have to stand in line there is hot water at all times it is really easy to get to know other travelers from many different countries and exchange experiences in the welcoming atmosphere the very large apartment has lots of pretty paintings by anahits father and also a piano sometimes in the afternoon you can hear her play the most beautiful old armenian songs there is a big terrace its nice to sit out there in the shade on hot summer days when i was there i was served large glasses of coffee with vanilla ice delicious the location is ideal everything within walking distance i cant recommend this guesthouse enough,191,male
5,1/3/2013,Michaela_S_H,1 review,friends,   anahit stepanyan's b&b  ,2013,Sunday,germany,a lovely stay in a homely place i have been to anahits bb in march 2013 for four days travelling with a friend and i agree with many of the posts below anahit is a great hostess and we had such a good time at her house the location is perfect and allowed us to get everywhere walking the rooms are very tidy and spacious and we even had a balcony with great views we definitely felt at home right awaywe were eager to know about armenia and life in yerevan and anahit whose english is excellent kindly answered all our questions and told us so many interesting things  we wont forget the long cosy breakfasts chatting over a cup of turkish coffeeher recommendations of things to do and see in yerevan were very helpful and for our visit to echmiadzin garni temple saghpat monastery and other sights around yerevan she recommended a guide to us arsen who did a great job he speaks little english but is such a fun person that we still spend the day chatting with him and learned a lot about the sights we sawi would recommend for anyone to go stay with anahit we had a wonderful time,204,unknown
3,1/4/2013,Sandra Q,13   Reviews,couple,   anahit stepanyan's b&b  ,2013,Wednesday,germany,we werent so pleased maybe it is a matter of age and maybe our expectations were simply too high but we didnt like our stay too much the private room is actually her sons room and is usually used by him so he needed to enter it once in a while to get his things out not that it would matter so much but i hated the feeling of intruding we have slept in homestays before but i never felt so out of place as i did here we did not take breakfast because i really dont like old stale cakes from the supermarket that also left us with a slightly weird feeling also when other guests also arrived the place is too full and there starts to be a waiting list for the showeri personally didnt take to anahit and it was no surprise that she claimed the price on her website was higher than what i said it was obviously this was easily checked it was just another weirdness to put up withthe location is very good though right in the center of things but next time i would opt for another place it still is a miracle to us how this bb got these good ratings,209,female
5,1/4/2013,Dennis M,88   Reviews,solo,   anahit stepanyan's b&b  ,2013,Tuesday,turkey,homely bb in the center of town this is a very homely bb right in the center of yerevan it is basically a large apartment turned into a guesthouse there is a dorm room two semi private rooms other guests can walk through an open loft room and one fully private room the good things about the guesthouse its very affordable and right in the center of town anihit the hostess speaks excellent english and is very helpful it has a very homely atmosphere where guests generally sit around the living room to talk the only drawback could be that the place only has one shower which wasnt a problem when i visited but could be a little difficult if the place fills up have to say thanks to anahit as i celebrated my birthday here and was treated to a nice birthday cake,144,male
4,1/10/2012,Annika T,10   Reviews,friends,   anahit stepanyan's b&b  ,2012,Monday,turkey,the perfect armenian hostess my boyfriend and i stayed with anahit for 3 days this fall and loved being her guests anahits house is in the center of townright on opera squareso very accessible by metro and shared taxi systems as well as within walking distance to downtown yerevans attractions the walk up to the 4th floor flat was well worth it we had a view of mt ararat from our private bedrooms window there is wifi and anahit was so happy to make suggestions about what to do how to get there and also just talk about her country and her views on various topics we were lucky enough to have anahit all to ourselves except for her son for the first two days and we definitely loved having her to ourselves  anahit made us breakfast and tea chatted with us and then sent us off with good wishes and clear directions for the day she was helpful without being overbearing knowledgeable but not pushy  staying with her was like coming home to a very friendly helpful strangers house and we loved it  you will too,187,female
5,1/11/2012,Jon J,1 review,couple,   anahit stepanyan's b&b  ,2012,Sunday,uk,who said there is no place like home my husband and i just returned today and felt that we had to write a reviewwed never stayed in a home stay before and id say that its probably one of the best ways to get to know not just the country but the people of the country  that said we have no doubt that our sentiment is down to the fantastic time that we spent with anahit and her family  our days were spent travelling around yerevan and various monasteries around the country and our evenings were spent sharing tales and exchanging stories with other guests  we had serious and jovial discussions and shared many jokes  what an amazing experience  anahit was involved in our plans as little or as much as we wanted  having previously worked in the tourism industry her knowledge and advice was invaluable to us  the set up at anahits accommodates all types of travellers those travelling alone those in groups those with knowledge of armenia and first time visitors   great location and great price,178,male
5,1/10/2012,Nora Z,3   Reviews,couple,   anahit stepanyan's b&b  ,2012,Wednesday,germany,great and friendly homestay all i know about armenia i learned in anahits kitchen we had a very pleasant stay in anahit stepanyans bb it was hard for us to leave from the nice balcony and kitchen where we heard a lot about armenian history culture and thought we stayed for 9 days instead of 2 and that was just because of the wonderful atmosphere at anahits place dont hesitate to trust her with her recommodations  she knows best anahit thanks again for everything nora  martin,86,female
5,1/8/2012,PaulVienna_12,4   Reviews,solo,   anahit stepanyan's b&b  ,2012,Sunday,austria,best homestay in armenia when lp writes about the homey experience this is absolutely right i repeatedly stayed at anahits place in august 2012 and enjoyed it very much anahit is a great and active host she speaks very good english and is always helpful  be it for concrete traveling hints or be it for solving the big questions of this universe cheers paul,64,unknown
5,1/9/2012,rayray89_12,1 review,couple,   anahit stepanyan's b&b  ,2012,Saturday,uk,my home in yerevan i have stayed with anahit twice and both were great experiences the first time with my friend in june and the second time with my boyfriend in september 2012 anahit is a wonderful very interesting and kind host her apartment really has the best location for a great price especially in the low season i have stayed in both the dormitory room and the private room when i stayed with my boyfriend at her apartment the private room wasnt available on both of the nights we wanted to stay she was so helpful and organised for us to stay in the dormitory room which turned out to be a room with only one double bed in she is also very helpful and tells you the best places to go in yerevan and gives very good directions if i go back to yerevan i would definately go and stay with her again i would recommend for anyone to go stay with anahit whether you are with friends family or as a couple you will not regret it,180,unknown
5,1/8/2012,BobMarkarian,2   Reviews,solo,   anahit stepanyan's b&b  ,2012,Thursday,usa,i love staying with anahit in 2007 i stayed for a month at anahits  i was coming to armenia to learn about the country the language and music i had a wonderful time  anahit was a gracious host and helped me navigate travel find good restaurants and connect with other peoplei am currently staying here again  for the month of august 2012  it is with great regret that i leave tomorrow anahit goes out of her way to make guests feel at home she helps with airline reservations when there are problems she helps people make travel connections and she suggests good places to visit i agree with many of the other comments  the apartment is centrally located by the opera square and its only a 10 minute walk to republic square  anahit and i have become good friends over the last 5 years when i return to armenia the next time there is no question about where i will stay,161,unknown
5,1/9/2011,fcangel,3   Reviews,friends,   anahit stepanyan's b&b  ,2012,Monday,israel,fantastic homestay i stayed here with two friends in november 2010 when i was studying abroad in moscow and i intend to return in a month or two  the apartment is in an incredible location downtown right by the opera house  everything was clean but still so homey  anahit is very sweet  i was 20 when i first stayed there and she would not let me leave the apartment for the evening without lending me one of her own wool coats yerevan gets cold in the late fall  she also let one of my friends a scarfi only stayed a night and i was sad to leave  anahit speaks fantastic english and russian and a few other languages as well armenian farsi and i think german or french  she was so accommodating and let us choose our rooms and beds  she also had a bunch of great insider tips on yerevan  i would highly recommend staying here  i cannot wait to go back,163,unknown
5,1/5/2011,BobMarkarian,2   Reviews,solo,   anahit stepanyan's b&b  ,2012,Sunday,usa,anahit stepanyans bb i stayed with anahit and her two sons during the month of april 2007 i had a wonderful experience anahit and her sons were so helpful and welcoming i especially enjoyed meeting so many of the guests from all over the world i also like the location of anahits place  right across the street from the opera house next door to the music conservatory and a pleasant walk to hanrapetutyun hrparaki enjoyed my stay so much that when i return in august 2012 i plan to stay with anahit againsincerelybob lawrencemarkarian,94,unknown
5,1/8/2011,amposborne,1 review,friends,   anahit stepanyan's b&b  ,2012,Friday,uk,what a place so pleased shes now on tripadvisor anahits home will give you the armenian welcome to start your trip in yerevan this happy and caring woman makes it her job to make sure you enjoy your stay no need for guide books as with anahits extensive knowledge of places of interest will be enough  some of yerevan best restaurants with reasonable prices are just around the corner  placed right in the centre of town but quiet enough to relax theres no place to compare i felt so relax in her stay good memoriesso what you waiting for,99,unknown
5,1/5/2011,Peter A,1 review,solo,   anahit stepanyan's b&b  ,2012,Thursday,usa,she is the best this place is great and in a great location and anahit is the best she will take care of you better than your mom and she is much more fun,34,male
5,1/7/2013,Dennis O,4   Reviews,solo,   grammy hostel  ,2014,Saturday,usa,home away from home i had a fabulous time staying at this hostel  in addition to the unique décor the staff is amazingly friendly and helpful  i was able to walk around the city and see all i wanted to see from this locale,44,male
5,1/2/2014,MuayMajaajam,2   Reviews,friends,   grammy hostel  ,2014,Saturday,russia,gotta love yerevan  love the hostel  nice place and nice people especially love that they have piano in the living room that we can share a fun moment playing some music with the others the interior is stylish and cheerful the receptionists are super friendly suit that make yourself at home phrase ,52,unknown
5,1/7/2013,alsharp,4   Reviews,friends,   grammy hostel  ,2014,Saturday,usa,clean friendly with lots of personality ive been to yerevan many times the grammy hostel is one of the best hostels ive been to any country the place is clean staff is extremely friendly and it has a lot of personality it doesnt have that cold corporate franchise feel like some of the other hostels it feels like a real friendly place the owner is wellread and cultured and that reflects on the place too because of that its a great place to stay if you are planning to travel to neighboring countries like georgia russia iran etc i enjoyed the light breakfasts and the piano in the piano room which you everyone is free to play,117,unknown
4,1/4/2014,PolishMeKnob,43   Reviews,solo,   grammy hostel  ,2014,Tuesday,poland,nice place for backpackers the staff is extremely nice and helpfulthey allow smoking in the common areas which kind of sucksits located in a good place right outside the centerits like everyone is one big family thereits not the cleanest and the breakfasts arent the largest but its good and its cheapplus no private bathrooms,55,unknown
5,1/9/2013,Peter Czech K,1 review,solo,   grammy hostel  ,2013,Tuesday,czech republic,extraordinary hostel grammy in yerevan in a style of woodstock  i have travelled many times and always stayed at hotelsbut this time i have found this hostel in the internet by accident and i liked this style of hostel i have stayed 3 nights and i can give only high marks  at first the staffextraordinary breakfastsvery clean and cozy rooms i had many friends almost from any part of the world with whom we had a unforgetable evenings with the piano and guitar musicreally it was a grammy  i hope that i will have a chance to stay here again ,100,male
3,1/9/2013,whatahappytravel,19   Reviews,couple,   grammy hostel  ,2013,Friday,qatar,super helpful staffclean place  but a real hostel hostel we didnt realize realize that grammy is a real hostel hostel with a youthhostel experience feel to it the rooms were not cosy and had no atmposphere although the common area is quite fun the beds are not comfortable and we went the spirals from the matrasse breakfast is really nice but too small the staff was really friendly and did their best to help us with questions and even make phonecalls for us big plus for that we wanted to stay two nights but left after one night as the place didnt meet our expectations however recommended if you dont mind staying in a youth hostel,116,unknown
4,1/8/2012,Hovigs1,29   Reviews,solo,   grammy hostel  ,2013,Friday,qatar,best hostel in yerevan i had experienced couple hostels and hotels in yerevan  i found grammy hostel by accident  i can say it was really nice  the welcome  location  rooms  beds  bathroom  my only concern was the breakfast food which was included in the daily rate  it was too much and a bit heavy type for me at least  however you can simple ask for cheese  butter  eggs and tez or coffee and you will get it in few seconds  it is a perfect hostel ,85,unknown
5,1/7/2012,andrew,10   Reviews,couple,   grammy hostel  ,2012,Sunday,uk,"the best choice in yerevan i really cannot fault this place on my second visit to yerevan i stayed here having previously stayed at the less comfortable theatre hostel
i rang an hour or so ahead to see if they had rooms available they didnt have any private rooms available but we were put in a dorm room and promised that we we would be the only two guests in there for our two night stay which we were and we were only charged the dorm room price new guests were split between the other dorms
upon arrival we were invited into the common area where they had prepared platter of snacks and homemade drinks for us because they thought we might be hungry by the time we arrived 8pm  a very nice gesture i actually thought it was breakfast set out early for the next morning
but i was wrong  breakfast was freshly cooked each morning and changed from day to day not your usual bread and jam instead we were served onion cakes quiche pancakes muesli pizza type bread  porridge which was served to us along with fresh armenian coffee or a cup of tea
the hostel is fairly new only a few months old when i was there i was pleased with every aspect of my stay the staff were friendly and helpful the common area was modern clean and spacious there was a lounge area computer area cookingi really cannot fault this place on my second visit to yerevan i stayed here having previously stayed at the less comfortable theatre hosteli rang an hour or so ahead to see if they had rooms available they didnt have any private rooms available but we were put in a dorm room and promised that we we would be the only two guests in there for our two night stay which we were and we were only charged the dorm room price new guests were split between the other dormsupon arrival we were invited into the common area where they had prepared platter of snacks and homemade drinks for us because they thought we might be hungry by the time we arrived 8pm  a very nice gesture i actually thought it was breakfast set out early for the next morningbut i was wrong  breakfast was freshly cooked each morning and changed from day to day not your usual bread and jam instead we were served onion cakes quiche pancakes muesli pizza type bread  porridge which was served to us along with fresh armenian coffee or a cup of teathe hostel is fairly new only a few months old when i was there i was pleased with every aspect of my stay the staff were friendly and helpful the common area was modern clean and spacious there was a lounge area computer area cooking and eating area the dorm room was comfortable  and the beds were all single beds not bunk bedsall in all an excellent hostel  keep up the good work guys",503,male
5,1/10/2012,OliviaPetraComan,165   Reviews,couple,   grammy hostel  ,2012,Wednesday,romania,absolutely great this hostels got it all personality cleanliness great breakfast and location fantastic personnel i will always remember the kindness of alik and anoush the delicious blackberry cake we were welcomed with and nonetheless the amazing atmosphere of this hostel if you are planning to stay in yerevan or even to explore armenia this is the place,58,unknown
5,1/5/2012,ColorsOfTravel,17   Reviews,solo,   grammy hostel  ,2012,Sunday,poland,very nice place in yerevan i was there one week in may 2012 very nice service very good breakfast with armenian delicacies there was no problem with the earlier arrival comfortable large rooms with comfortable beds sleep well support for help in organizing trips to yerevan and the country any information on how to get around the city fun to visit the hostel is decorated in the style of western europe english clean bathrooms and toilets hot water 24 hours high quality service and care of the guests make it back there actually it is a hotel but for the price of the hostel i recommend to all  travelers families with children business people very nice place in the center of yerevan,122,unknown
5,1/5/2014,karlsruhe_79,71   Reviews,business,   armenia marriott hotel yerevan  ,2014,Monday,usa,awesome location beautiful historic property my room was located in the backbuilding and actually had a walkin closet which was great  there was also a small living room and a separate bedroom  the tv was only in the bedroom which was ok because i was traveling solo  very clean  the location is awesome right in the middle of town across the fountains  lots of dining and shopping options within walking distance  the breakfast buffet was vast if a little on the expensive side  people with mobility issues may be a little taken aback when you first enter the lobby after checkin you have to walk up a steep set of stairs and through a passage way to reach the elevators for the rooms  i believe there are elevators,128,unknown
5,1/6/2014,Joe F,74   Reviews,business,   armenia marriott hotel yerevan  ,2014,Friday,usa,beautiful hotel great location the marriott armenia hotel yerevan is a beautiful hotel located in republic square hotel staff is friendly and very accomodating lobby bar is a nice place for a nightcap and the outside patio restaurant is a great spot to people watch plenty of restaurants in easy walking distance including a number of traditional armenian places to eat,61,male
